id , name, adusers, ddownloads, lastupdated, minv, maxv, isMailExt, #Auth, Authors, A1Id,  A2Id,  A3Id, cTB52, cTB60, cTB68b, cTB68,homepage_url,support_url
702920,ThunderHTMLedit,5223,197,2019-07-06,68.0,100,1,1,Jorg K,6190978,,,2017-07-09,2018-04-04,2099-01-01,2019-07-06,https://addons.thunderbird.net/en-US/thunderbird/addon/thunderhtmledit/,{u'en-US': u'http://www.jorgk.com'}
704523,EuropeanMX Spam Reporter,319,61,2016-05-26,2.0,65.0,0,1,EUNETIC GmbH,12323379,,,2016-05-25,2016-05-25,2016-05-25,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/europeanmx/,{u'de': u'https://europeanmx.eu'}
705889,TORPEDO - TOoltip-poweRed Phishing Email DetectiOn,976,53,2018-12-02,26.0,60.0,0,1,SECUSO,12956744,,,2017-04-10,2018-04-28,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/torpedo-phishing-detection/,{u'en-GB': u'https://github.com/SecUSo/torpedo'; u'de': u'https://github.com/SecUSo/torpedo'}
706000,No Resource URI Leak,47,139,2016-07-25,38.0,52.0,0,2,Desktopd Collaboration; nord-stream,12314278,12404775,,2016-07-25,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/no-resource-uri-leak/,{u'en-US': u'https://notabug.org/desktopd/no-resource-uri-leak/issues'}
708783,Emoji,12107,488,2019-08-30,68.0,100,1,1,Michael Ganss,12353367,,,2017-08-21,2018-05-02,2099-01-01,2019-08-30,https://addons.thunderbird.net/en-US/thunderbird/addon/emojiaddin/,None
709887,ConferenceCall.nl templates,0,69,2016-06-21,10.0,45.0,0,1,ConferenceCall.nl,12334377,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/conferencecall-nl-templates/,{u'en-US': u'https://www.conferencecall.nl'}
710356,Telefonkonferenz.de-Vorlagen,2,84,2016-06-20,10.0,45.0,0,1,Telefonkonferenz.de,12366591,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/telefonkonferenz-de-vorlagen/,{u'nl': u'https://www.telefonkonferenz.de/'}
710358,ConferenceCall.co.uk templates,0,109,2016-06-20,10.0,45.0,0,1,ConferenceCall.co.uk,12366578,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/conferencecall-co-uk-templates/,{u'nl': u'https://www.conferencecall.co.uk/'}
711456,TexTra,661,100,2019-07-25,45.0,100,0,1,NICT,12318752,,,2016-10-03,2018-09-03,2018-09-03,2018-09-03,https://addons.thunderbird.net/en-US/thunderbird/addon/textra-thunderbird/,None
711780,LookOut (fix version),115981,2165,2019-08-30,68.0,100,1,2,Oleksandr; Dugite-Code,5642089,14152435,,2016-12-20,2017-11-29,2017-11-29,2019-08-30,https://addons.thunderbird.net/en-US/thunderbird/addon/lookout-fix-version/,{u'en-US': u'https://github.com/TB-throwback/LookOut-fix-version/issues'}
711999,Large Fonts,22,29,2016-06-26,24.0,45.0,0,1,Hiroya Matsuba,10470256,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/large-fonts/,None
714655,Layout Button,223,39,2018-05-26,1.5,60.0,0,1,TurtleTec,12406433,,,2016-07-10,2016-07-10,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/layout-button/,None
717100,Identity Checker,4,24,2016-07-22,3.0,45.0,0,1,Unified Communications Inc.,12424178,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/identity-checker/,None
717404,MultiTemplateLoader,27,50,2017-06-01,1.5,55.0,0,1,Ric,3496957,,,2016-07-23,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/multitemplateloader/,None
719661,AastraClickToCall,0,32,2016-08-03,3.0,20.0,0,1,mdauphin,12450297,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/aastraclicktocall/,None
722479,Image Zoom (ugly fixes),77,116,2016-12-12,17.0,52.0,0,1,roger21,5512135,,,2016-11-29,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/image-zoom-ugly-attempt/,{u'en-US': u'https://github.com/roger21/imagezoomuglyfixes'}
722550,Stego Block,0,83,2016-11-13,1.5,51.0,0,1,Toftegaard,12464301,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/stego-block/,None
725705,Disable Addon Compatibility Checks (Version 4-56),149,122,2016-08-18,3.3,51.0,0,1,alike03,12353917,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/checkcompatibility2/,None
728162,Checkbox Column,556,69,2019-01-30,22.0,60.0,0,1,Michael Ganss,12353367,,,2017-10-26,2018-05-02,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/checkbox-column/,None
728297,Thunderbook,1338,192,2019-05-01,52.0,60.0,0,1,Julien L.,11505924,,,2017-09-13,2018-10-11,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/thunderbook/,None
740067,SMTP Switch Reborn,797,53,2019-01-06,3.0,60.0,0,1,TrVTrV,5250414,,,2016-10-08,2018-08-20,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/smtp-switch-reborn/,None
740070,Reply To All Reminder,337,24,2016-10-09,1.5,65.0,0,1,Qiqitori,12582176,,,2016-10-08,2016-10-08,2016-10-08,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/reply-to-all-reminder/,{u'en-US': u'http://blog.qiqitori.com/?p=165'}
742184,Reply As Original Recipient,361,43,2018-11-19,17.0,64.0,0,1,Qiqitori,12582176,,,2016-10-17,2016-10-17,2018-11-16,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/reply-as-original-recipient/,{u'de': u'http://blog.qiqitori.com/?p=194'; u'en-US': u'http://blog.qiqitori.com/?p=194'; u'ja': u'http://blog.qiqitori.com/?p=194'}
742199,Attach from Clipboard,3000,124,2019-08-30,68.0,100,1,1,Michael Ganss,12353367,,,2017-10-26,2018-05-02,2099-01-01,2019-08-29,https://addons.thunderbird.net/en-US/thunderbird/addon/attach-from-clipboard/,None
